Grant Number,Title
RFA-ES-15-012,nanomaterials health implications research (nhir): engineered nanomaterials resource and coordination core (u24)
RFA-HD-17-007,population dynamics centers research infrastructure program fy 2017 (p2c)
RFA-RM-17-021,"human heredity and health in africa (h3africa): ethical, legal, and societal issues (elsi) research program (u01)"
RFA-NS-18-043,discovery and validation of novel targets for safe and effective pain treatment (r01 clinical trial not allowed)
RFA-RM-17-027,tissue mapping centers for the human biomolecular atlas program (u54 clinical trial not allowed)
RFA-MH-17-550,understanding and addressing the multi-level influences on uptake and adherence to hiv prevention strategies among adolescent girls and young women in sub-saharan africa (r01)
RFA-AI-16-050,systems approach to immunity and inflammation (u19)
RFA-RM-18-036,"novel and innovative tools to facilitate identification, tracking, manipulation, and analysis of glycans and their functions (u01 clinical trial not allowed)"
RFA-DC-16-001,open design tools for speech signal processing (r01)
RFA-HL-18-030,regenerative medicine innovation project (rmip) investigator-initiated studies (u01 clinical trial not allowed)
RFA-RM-17-017,model organisms screening center for the undiagnosed diseases network (udn) phase ii (u54)
RFA-AA-17-016,alcohol-ptsd comorbidity: preclinical studies of models and mechanisms (r01)
RFA-AG-16-022,aging research on stress and resilience to address health disparities in the united states (r01)
RFA-AI-15-029,martin delaney collaboratories for hiv cure research (um1)
RFA-AR-16-004,niams musculoskeletal biology and medicine resource-based centers (p30)
RFA-FD-16-017,manufactured food regulatory program alliance (u18)
RFA-DA-18-012,development of a device to objectively measure pain (r43/r44)
RFA-HD-17-023,pediatric scientist development program (k12)
RFA-RM-17-020,"human heredity and health in africa (h3africa): ethical, legal, and societal issues (elsi) collaborative centers (u54)"
RFA-HL-17-003,t4 translation research capacity building initiative in low income countries (trein) (u24)
RFA-AR-16-003,niams skin biology and diseases resource-based centers (p30)
RFA-AR-17-003,mechanistic ancillary studies to ongoing interventional clinical trials (r01)
RFA-DK-18-004,development of new technologies and bioengineering solutions for the advancement of cell replacement therapies for type 1 diabetes (t1d) (r01 clinical trial optional)
RFA-HD-16-014,specialized centers in research in pediatric developmental pharmacology (u54)
RFA-MD-17-004,limited competition: nimhd endowment program for increasing research and institutional resources (s21)
RFA-HD-17-010,global network for womenâs and children s health research data coordinating center (u24)
RFA-AG-20-014,geroscience approaches to alzheimer's disease (r21 clinical trial not allowed)
RFA-RM-18-037,innovative adaptations to simplify existing technologies for manipulation and analysis of glycans (u01 clinical trial not allowed)
RFA-NS-16-002,ninds morris k. udall centers of excellence for parkinson's disease research (p50)
RFA-CA-15-001,"cancer detection, diagnosis, and treatment technologies for global health (uh2/uh3)"
RFA-DK-15-010,mouse metabolic phenotyping centers consortium (u2c)
RFA-MH-16-800,applied research toward zero suicide healthcare systems (r01)
RFA-CA-18-011,sbir phase iib bridge awards to accelerate the development of cancer-relevant technologies toward commercialization (r44 clinical trial optional)
RFA-RM-16-011,human heredity and health in africa (h3africa): informatics network (u24)
RFA-HL-16-019,career development program in emergency care research (k12)
RFA-HL-17-016,nhlbi research career development programs in t4 implementation research (k12)
RFA-AR-20-003,"small business innovation research on rare musculoskeletal, rheumatic and skin diseases (sbir) (r43 - clinical trial not allowed)"
RFA-DK-16-036,coordinating unit for the diabetic complications consortium (u24)
RFA-DK-16-508,limited competition for the continuation of epidemiology of diabetes interventions and complications (edic) study clinical research center (collaborative u01)
RFA-NS-18-006,high impact neuroscience research resource grants (r24) - clinical trial not allowed
RFA-NS-18-042,discovery and validation of novel targets for safe and effective pain treatment (r21 clinical trial not allowed)
RFA-RM-17-014,stakeholder engagement and program coordination center (sepcc) (u2c)
RFA-NS-18-014,brain initiative: targeted brain circuits planning projects - targetedbcpp (r34 clinical trial not allowed)
RFA-NS-17-017,"frontotemporal degeneration (ftd) sequencing consortium: discovery, replication and validation (ug3/uh3)"
RFA-AG-17-063,institutional training programs to advance translational research on alzheimerâs disease and ad related dementias (t32)
RFA-GM-17-003,centers for hiv/aids-related structural biology (p50)
RFA-CA-16-014,cancer target discovery and development network (u01)
RFA-HL-18-007,implementation research to develop interventions for people living with hiv (preclude) (u01)
RFA-AG-16-020,impact of aging on currently employed animal models of disease and chronic conditions: demonstration projects (uh2/uh3)
RFA-HD-16-012,pelvic floor disorders network clinical sites (ug1)
RFA-LM-17-001,big data to knowledge (bd2k) enhancing the efficiency and effectiveness of digital curation for biomedical big data (u01)
RFA-CA-16-502,limited competition: the chernobyl tissue bank - coordinating center (u24)
RFA-RM-17-011,national metabolomics data repository (nmdr) (u2c)
RFA-HD-16-011,pelvic floor disorders network data coordinating center (u24)
RFA-DK-17-021,discovery of early type 1 diabetes disease biomarkers in the human pancreas [hirn consortium on beta cell death and survival (cbds)] (u01 clinical trial not allowed)
RFA-ES-13-013,validation and demonstration of devices for environmental exposure assessment (r21/r33)
RFA-NS-18-033,stroke preclinical assessment network (span) to support translational studies for acute neuroprotection (u01 clinical trial not allowed)
RFA-MH-19-411,promoting reductions in intersectional stigma (prism) to improve the hiv prevention continuum (r21 clinical trial optional)
RFA-OD-18-007,pathway to independence award in tobacco regulatory research (k99/r00 - independent clinical trial not allowed)
RFA-HS-18-001,"patient safety learning laboratories: pursuing safety in diagnosis and treatment at the intersection of design, systems engineering, and health services research (r18)"
RFA-OD-17-004,intensive longitudinal analysis of health behaviors: leveraging new technologies to understand health behaviors (u01)
RFA-HG-19-012,"limited competition centers of excellence in ethical, legal and social implications (elsi) research (ceer) (rm1 clinical trial optional)"
RFA-AG-19-021,grants for early medical/surgical specialists' transition to aging research (gemsstar) (r03 clinical trial optional)
RFA-DA-17-024,optimizing the hiv care continuum for substance abusing populations at high-risk and/or living with hiv (r01)
RFA-DE-16-007,novel or enhanced dental restorative materials for class v lesions (r01)
RFA-RM-15-017,limited competition: knockout mouse production and phenotyping project (um1)
RFA-ES-16-003,bd2k mentored career development award in biomedical big data science for intramural investigators (k22)
RFA-CA-15-015,coordinating center for the cancer systems biology consortium and the physical sciences-oncology network (u24)
RFA-DK-15-006,career development programs in diabetes research for pediatric endocrinologists (k12)
RFA-DC-16-002,open design tools for speech signal processing (r43/r44)
RFA-CA-17-029,precompetitive collaboration on liquid biopsy for early cancer assessment (u01)
RFA-RM-16-006,nih director's early independence awards (dp5)
RFA-HD-17-009,autism centers of excellence: centers (p50)
RFA-DA-20-018,digital health technologies to address the social determinants of health in context of substance use disorders (sud) (r43/r44 clinical trial optional)
RFA-FD-16-047,"analgesic, anesthetic and addiction clinical trial translations, innovations, opportunities, and networks (acttion) (u01)"
RFA-FD-18-020,three-dimensional approach for modeling nasal mucociliary clearance via computational fluid dynamics (cfd) (u01)
RFA-MH-19-240,computationally-defined behaviors in psychiatry (r21 clinical trial optional)
RFA-TR-19-020,drug screening with biofabricated 3-d skin disease tissue models (u18 clinical trial not allowed)
RFA-DA-20-017,digital health technologies to address the social determinants of health in context of substance use disorders (sud) (r41/r42 clinical trial optional)
RFA-HD-17-022,"coordinating center for nichd population dynamics centers research infrastructure program, fy 2017 (r24)"
RFA-AI-16-031,limited interaction targeted epidemiology (lite) to advance hiv prevention (ug3/uh3)
RFA-OD-16-013,building interdisciplinary research careers in women's health (k12)
RFA-DA-17-014,"hiv, hcv and related comorbidities in rural communities affected by opioid injection drug epidemics in the united states: building systems for prevention, treatment and control (ug3/uh3)"
RFA-ES-19-009,sbir e-learning for hazmat and emergency response (r43/r44 clinical trial not allowed)
RFA-AR-16-002,niams rheumatic diseases research resource-based centers (p30)
RFA-CA-16-009,the early detection research network: biomarker developmental laboratories (u01)
RFA-DA-20-012,blockchain technology to improve sud care (r43/r44 - clinical trial optional)
RFA-FD-16-019,strengthen and promote the role of local health departments in retail food safety regulation (u50)
RFA-CA-18-004,innovative biospecimen science technologies for basic and clinical cancer research (r21 - clinical trial not allowed)
RFA-DA-20-020,rapid assessment of drug abuse: smart city tools (r41/r42 - clinical trial optional)
RFA-NS-16-020,small vessel vascular contributions to cognitive impairment and dementia (vcid) biomarkers development projects (uh2/uh3)
RFA-HL-17-021,cardiovascular and pulmonary research on e-cigarettes (r01)
RFA-RM-15-006,nih director's early independence awards (dp5)
RFA-DK-15-021,niddk cooperative hematology specialized core centers (u54)
RFA-CA-17-024,"sbir phase iib bridge awards to accelerate the development of cancer therapeutics, imaging technologies, interventional devices, diagnostics, and prognostics toward commercialization (r44)"
RFA-MH-19-410,promoting reductions in intersectional stigma (prism) to improve the hiv prevention continuum (r34 clinical trial required)
RFA-DA-20-021,rapid assessment of drug abuse: smart city tools (r43/r44 - clinical trial optional)
RFA-DK-18-513,limited competition for the continuation of the multidisciplinary approach to the study of chronic pelvic pain (mapp) research network discovery sites (u01 clinical trial not allowed)
RFA-GM-18-001,regional technology transfer accelerator hubs for idea states (sttr) (ut2 - clinical trial not allowed)
RFA-NS-16-019,small vessel vascular contributions to cognitive impairment and dementia (vcid) biomarkers consortium: coordinating center (u24)
RFA-AT-16-005,phased innovation award for mechanistic studies to optimize mind and body interventions in nccih high priority research topics (r61/r33)
RFA-TW-14-001,hubs of interdisciplinary research and training in global environmental and occupational health (geohealth) research (u01)
RFA-MD-18-009,innovations for healthy living - improving minority health and eliminating health disparities (r43/r44 - clinical trial optional)
RFA-AG-17-065,pragmatic trials for dementia care in long-term services and support (ltss) settings (r21/r33)
RFA-AT-16-001,phased innovation award for exploratory clinical trials and studies of natural products in nccih high priority research topics (r21/r33)
RFA-CA-17-033,feasibility and planning studies for development of specialized programs of research excellence (spores) to investigate cancer health disparities (p20)
RFA-HS-18-002,screening and management of unhealthy alcohol use in primary care: dissemination and implementation of pcor evidence (r18)
RFA-DK-15-003,niddk centers for diabetes translation research (p30)
RFA-DK-17-008,pragmatic research in healthcare settings to improve kidney disease prevention and care (r18)
RFA-RM-14-003,nih transformative research awards (r01)
RFA-ES-15-013,nanomaterials health implications research (nhir): comprehensive evaluation of interactions between engineered nanomaterials and biological system (u01)
RFA-AI-16-012,pilot clinical trials to eliminate the latent hiv reservoir (u01)
RFA-RM-19-006,nih directorâs new innovator award program (dp2 clinical trial optional)
RFA-RM-17-012,metabolomic data analysis and interpretation tools (u01)
RFA-DK-15-004,urinary stone disease research network: clinical centers (usdrn-ccs) (collaborative u01)
RFA-AA-16-001,limited competition: consortia for hiv/aids and alcohol-related research trials (chaart) project (collaborative u01)
RFA-AA-16-003,limited competition: consortia for hiv/aids and alcohol-related research trials (chaart) resource core (u24)
RFA-AA-17-014,"collaborative research in hiv/aids, alcohol, and related comorbidities (collaborative u01)"
RFA-RM-18-020,limited competition: human heredity and health in africa consortium biorepository (u24 clinical trial not allowed)
RFA-AR-17-001,centers of research translation (cort) (p50)
RFA-HD-16-013,intellectual and developmental disabilities research centers 2016 (u54)
RFA-HL-15-008,bioreactors for reparative medicine (r43/r44)
RFA-CA-15-023,proteogenomic data analysis centers for clinical proteomic tumor analysis consortium (u24)
RFA-FD-16-046,antimicrobial use & resistance data collection (u01)
RFA-AG-17-013,encouraging appropriate care using behavioral economics through electronic health records (r21/r33)
RFA-EB-17-005,"brain initiative: theories, models and methods for analysis of complex data from the brain (r01 clinical trial not allowed)"
RFA-HD-17-021,rehabilitation research career development programs (k12)
RFA-NS-18-008,brain initiative: exploratory team-research brain circuit programs - eteambcp (u01)
RFA-NS-17-021,myalgic encephalomyelitis/chronic fatigue syndrome (me/cfs) collaborative research centers (crcs) (u54)
RFA-DK-16-010,"clinical centers to investigate the pathogenesis, etiology, and treatment of gastroparesis through the niddk gastroparesis consortium (u01)"
RFA-CA-15-020,genomic data analysis network: specialized genomic data center (u24)
RFA-FD-16-043,natural history studies for rare disease product development: orphan products research project grant (r01)
RFA-FD-18-023,enhancing innovations in emerging technologies for advanced manufacturing of complex biologic products (r01)
RFA-DK-16-029,niddk inflammatory bowel disease genetics consortium (ibdgc) genetic research centers (grcs) (u01)
RFA-DA-16-009,nih blueprint training in computational neuroscience: from biology to model and back again (t90/r90)
RFA-ES-16-005,mechanism for time-sensitive research opportunities in environmental health sciences (r21)
RFA-DK-16-013,george m. o'brien urology cooperative research centers program (u54)
RFA-DK-16-028,kidney precision medicine project central hub (u2c)
RFA-FD-16-022,implementation of the animal feed regulatory program standards (afrps) (u18)
RFA-DK-16-027,kidney precision medicine project tissue interrogation sites (ug3/uh3)
RFA-DK-16-026,kidney precision medicine project - recruitment sites (ug3/uh3)
RFA-NS-17-012,"detecting cognitive impairment, including dementia, in primary care and other everyday clinical settings for the general public and in health disparities populations (ug3/uh3)"
RFA-DK-16-032,pediatric centers of excellence in nephrology (p50)
RFA-AG-16-014,alzheimer's disease translational center for disease model resources (u54)
RFA-TW-16-001,fogarty global injury and trauma research training program (d43)
RFA-DK-15-508,limited competition for the continuation of teen-labs (adolescent longitudinal assessment of bariatric surgery) clinical centers (collaborative u01)
RFA-CA-17-009,mechanisms of cancer drug resistance and sensitivity (u54)
RFA-RM-16-012,human heredity and health in africa (h3africa): global health bioinformatics research training program (u2r)
RFA-FD-19-008,"bioequivalence of topical products: bioequivalence considerations for ungual, scalp, vaginal, anal or rectal dosage forms (u01 clinical trial not allowed)"
RFA-DK-16-510,limited competition for the data coordinating center (dcc) for the niddk inflammatory bowel disease genetics consortium (ibdgc) (u24)
RFA-EB-19-001,brain initiative: proof of concept development of early stage next generation human brain imaging (r01 clinical trial not allowed)
RFA-OD-17-005,intensive longitudinal analysis of health behaviors: leveraging new technologies to understand health behaviors (u24)
RFA-MH-20-120,brain initiative: secondary analysis and archiving of brain initiative data (r01 clinical trial not allowed)
RFA-LM-19-001,nlm information resource grants to reduce health disparities (g08 clinical trial not allowed)
RFA-HG-15-033,novel nucleic acid sequencing technology development (r43/r44)
RFA-MH-19-136,brain initiative: development and validation of novel tools to probe cell-specific and circuit-specific processes in the brain (r01 clinical trial not allowed)
RFA-CA-15-018,genomic data analysis network: processing genomic data center (u24)
RFA-NS-16-023,center without walls for the identification and validation of molecular mechanisms contributing to tau pathogenesis and associated neurodegeneration in frontotemporal degeneration (ftd) (u54)
RFA-HS-19-002,using data analytics to support primary care and community interventions to improve chronic disease prevention and management and population health (r18)
RFA-AR-19-007,mechanistic ancillary studies to ongoing clinical projects (r21 clinical trial not allowed)
RFA-FD-19-024,conduct studies to establish more targeted durations of use for certain approved antimicrobial new animal drugs in food animals (u01 clinical trial required)
RFA-CA-18-028,improving smoking cessation interventions among people living with hiv (r21 clinical trial optional)
RFA-HS-19-003,ahrq health services research project:partners enabling diagnostic excellence (r01)
RFA-AG-19-023,"telomeres as sentinels of environmental exposures, psychosocial stress, and disease susceptibility: a methods comparison study (u01 clinical trial optional)"
RFA-OD-19-015,investigation of co-occurring conditions across the lifespan to understand down syndrome (include) clinical trial readiness (r21 clinical trial not allowed)
RFA-NS-19-009,promoting research on music and health: fundamentals and applications (r21 clinical trials optional)
RFA-DK-17-018,ancillary studies to the niddk inflammatory bowel disease genetics consortium (r21 - clinical trial optional)
RFA-RM-18-030,genome sequencing center for the gabriella miller kids first pediatric research program (u24 clinical trial not allowed)
RFA-HD-19-023,contraception research centers program (u54 clinical trial optional)
RFA-DK-15-012,"a community research resource of microbiome-derived factors modulating host physiology in obesity, digestive and liver diseases, and nutrition (r24)"
RFA-AT-19-009,exploring the mechanisms underlying analgesic properties of minor cannabinoids and terpenes (r21 clinical trial optional)
RFA-HS-17-012,agency for healthcare research and quality and patient-centered outcomes research institute learning health systems mentored career development program (k12)
RFA-HS-17-010,consumer assessment of healthcare providers and systems v (cahps v) (u18)
RFA-DE-18-001,"implementation science research to improve dental, oral and craniofacial health (u01)"
RFA-DE-19-008,enabling technologies to accelerate development of oral biodevices (r21 clinical trial not allowed)
RFA-AA-17-015,expanding alcohol-focused high-priority translational research for hiv/aids (uh2/uh3)
RFA-DK-18-028,developmental centers for interdisciplinary research in benign urology (p20 clinical trial not allowed)
RFA-AT-18-002,clinical trials or observational studies of behavioral interventions for prevention of opioid use disorder or adjunct to medication assisted treatment-samhsa opioid str grants (r21/r33)
RFA-DK-19-501,limited competition for the continuation of the chronic kidney disease biomarkers consortium (ckd biocon) data coordinating center (u01 clinical trial not allowed)
RFA-RM-19-001,heal initiative: stimulating peripheral activity to relieve conditions (sparc): anatomical and functional mapping of pain-related visceral organ neural circuitry (u01 clinical trial optional)
RFA-RM-19-002,the human biomolecular atlas program (hubmap): rapid implementation of technologies that will accelerate development of a framework for mapping the human body at high resolution (uh3 clinical trial not allowed)
RFA-DK-18-017,ancillary studies to the niddk inflammatory bowel disease genetics consortium (r01- clinical trial optional)
RFA-NS-16-003,child neurologist career development program (cncdp) (k12)
RFA-MH-19-147,brain initiative: integration and analysis of brain initiative data (r01 clinical trial not allowed)
RFA-AG-17-014,predictors and determinants of age-related changes in resiliencies to physical stressors in humans (uh2/uh3)
RFA-DA-19-035,heal initiative: preventing opioid use disorder in older adolescents and young adults (ages 16 30) (ug3/uh3 clinical trial required
RFA-AG-20-018,grants for early medical/surgical specialists' transition to aging research (gemsstar) (r03 clinical trial optional)
RFA-MH-19-121,early screening for autism spectrum disorder (r21 clinical trial not allowed)
RFA-DA-19-033,virtual reality tools to enhance evidence based treatment of substance use disorders (r43/r44 - clinical trial optional)
RFA-MH-19-400,brain initiative: research on the ethical implications of advancements in neurotechnology and brain science (r01 clinical trial optional)
RFA-RM-17-025,transformative technology development for the human biomolecular atlas program (ug3/uh3 clinical trial not allowed)
RFA-HD-19-006,non-invasive diagnostics to improve gynecologic health (r43/r44 - clinical trial optional)
RFA-NS-20-004,molecular mechanisms of blood-brain barrier function and dysfunction in alzheimer's disease and alzheimer's related dementias (ad/adrd) (r01 clinical trial not allowed)
RFA-MD-19-001,innovations for healthy living - improving minority health and eliminating health disparities (r43/r44 - clinical trial optional)
RFA-DA-20-001,workshops on the use of adolescent brain cognitive development (abcd) data (r25 clinical trial not allowed)
RFA-RM-19-011,"pilot projects investigating understudied g protein-coupled receptors, ion channels, and protein kinases (r03 clinical trial not allowed)"
RFA-AG-20-041,regulation of brain regional and cell type specific proteome dynamics in alzheimerâs disease (r21 clinical trial not allowed)
RFA-CA-19-053,revision applications for mechanisms of cancer drug resistance (p50 clinical trial not allowed)
RFA-HD-20-020,using archived data and specimen collections to advance maternal and pediatric hiv/aids research (r21 clinical trial not allowed)
RFA-AT-20-001,"preclinical screening for natural product drug interactions (clinical trial not allowed, r21)"
RFA-MH-20-140,brain initiative: research to develop and validate advanced human cell-based assays to model brain structure and function (r01 clinical trial not allowed)
RFA-HD-14-022,collaborative pediatric critical care research network (ug1)
RFA-DA-18-004,avenir award program for research on substance abuse and hiv/aids (dp2)
RFA-HD-14-020,data coordinating center for the collaborative pediatric critical care research network (u01)
RFA-DA-20-007,leveraging big data science to elucidate the neural mechanisms of addiction and substance use disorder (r21-clinical trials not allowed)
RFA-AI-14-007,human immunology project consortium (u19)
RFA-NS-20-005,mechanistic basis of tdp-43-dependent pathobiology in common dementias (r01 clinical trial not allowed)
RFA-DA-20-014,research networks for the study of recovery support services for persons treated with medications for opioid use disorder (r24 clinical trial optional)
RFA-DK-14-506,limited competition for the continuation of the hepatitis b research network clinical centers (u01)
RFA-CA-19-062,revision applications to support the application of informatics technology for cancer research (r01 clinical trials optional)
RFA-HD-20-021,fertility and fertility preservation for patients with diseases that previously precluded reproduction (r21 clinical trial optional)
RFA-RM-17-010,limited competition - stimulating peripheral activity to relieve conditions (sparc): technologies to understand the control of organ function by the peripheral nervous system (ot2)
RFA-AI-16-025,prevention innovation program iii (pip) (r01)
RFA-NS-16-004,ninds institutional center core grants to support neuroscience research (p30)
RFA-GM-19-001,"methods to improve reproducibility of human ipsc derivation, growth and differentiation (sbir) (r44 clinical trial not allowed)"
RFA-ES-13-012,environmental health sciences core centers (ehs cc) (p30)
RFA-OH-20-003,commercial fishing occupational safety training project grants (t03)
RFA-FD-20-005,heart failure collaboratory (r18) clinical trials optional
RFA-DK-17-508,limited competition: follow-up on subjects and immunological assessments in the environmental determinants of diabetes in the young study (teddy) (uc4)
RFA-FD-20-006,"local food producer outreach, education, and training to enhance food safety and fda food safety modernization act (fsma) compliance (u01) clinical trial not allowed"
RFA-FD-20-004,"native american tribes outreach, education, and training to enhance food safety and fsma compliance (u01) clinical trial not allowed"
RFA-AI-17-010,dysregulation of immune cell regulatory pathways by mtb in the context of hiv infection (r61/r33)
RFA-AG-20-050,low cost detection of cognitive decline in clinical settings (r61/r33 clinical trial required)
RFA-AG-20-038,dementia care: home- and community-based services (hcbs) (r21 clinical trial not allowed)
RFA-TW-14-003,limited competition: research training for career development of junior faculty in medical education partnership initiative (mepi) institutions (d43)
RFA-AG-20-027,innovations to foster healthy longevity in low-income settings (r03 clinical trial not allowed)
RFA-AG-20-033,nia behavioral and social research leaders in alzheimerâs disease and its related dementias (nia bsr leadr) (dp1 - clinical trial not allowed)
RFA-DA-20-025,step up for substance use disorders (sud): a drug target initiative for scientists engaged in fundamental research (u18 - clinical trial not allowed)
RFA-RM-15-020,limited competition - stimulating peripheral activity to relieve conditions (sparc): foundational functional mapping of neuroanatomy and neurobiology of organs (ot2)
RFA-RM-19-012,pilot projects enhancing utility and usage of common fund data sets (r03 clinical trial not allowed)
RFA-TR-18-001,nih-casis coordinated microphysiological systems program for translational research in space (ug3/uh3 clinical trials not allowed)
RFA-MH-20-310,brain initiative: non-invasive neuromodulation - new tools and techniques for spatiotemporal precision (r01 clinical trial optional)
RFA-DK-19-506,limited competition: competitive supplement to the coordinating center for type 1 diabetes trialnet (u01 clinical trial required)
RFA-FD-20-019,bioequivalence of topical products: elucidating fundamental principles of dermal pharmacokinetics for microdialysis or microperfusion techniques (u01) clinical trials not allowed
RFA-FD-20-017,transferring harmonized laboratory data from healthcare institutions to registries using fhir protocol (u01) clinical trials not allowed
RFA-MH-20-331,novel imaging approaches for detection of persistent hiv and neuroimmune dysfunction associated with hiv in the central nervous system (cns) (r21 clinical trial not allowed)
RFA-MD-20-005,methods and measurement in research with sexual and gender minority (sgm) populations (r21- clinical trials not allowed)
RFA-FD-20-009,drug development tools research grants (u01 clinical trial optional)
RFA-ES-14-009,hazmat training at doe nuclear weapons complex (uh4)
RFA-FD-20-012,advancing conformance with the voluntary national retail food regulatory program standards (vnrfrps) (u18) clinical trials not allowed
RFA-FD-15-004,minor use minor species development of drugs; research project grant (r01)
RFA-NS-20-027,accelerating medicine partnership in parkinsonâs disease (amp pd) data use and analysis (u01 clinical trials not allowed)
RFA-DA-18-010,wearable to track recovery and relapse factors for people w/ addiction (r43/r44)
RFA-DK-19-033,exploratory centers for interdisciplinary research in benign urology (p20 clinical trial optional)
RFA-DA-19-031,analytical tools and approaches for (multidimensional) scholarly research assessment and decision support in the biomedical enterprise (r43/r44 - clinical trial not allowed)
RFA-NS-20-010,heal initiative: development of therapies and technologies directed at enhanced pain management (r43/r44 - clinical trial required)
RFA-NS-20-013,white matter lesion etiology of dementia in the u.s. including in health disparity populations (u19 - clinical trial not allowed)
RFA-CA-14-501,limited competition: biospecimen banks to support nci-clinical trials network (nctn) (u24)
RFA-FD-20-025,conduct studies to establish more targeted durations of use for certain approved antimicrobial new animal drugs in food animals (u01) clinical trials optional
RFA-FD-18-002,creation and implementation of the national evaluation system for health technology (nest) coordinating center (cc)
RFA-FD-20-028,retail food safety association collaboration (u18) clinical trial not allowed
RFA-DK-20-015,patient-oriented research to mitigate health disparities and lessen the burden of chronic diseases within the mission of niddk (r01 clinical trial optional)
RFA-FD-20-031,incorporating cost effectiveness & societal outcomes into fda opioids model (u01) clinical trials not allowed
RFA-ES-14-008,hazardous materials worker health and safety training (u45)
RFA-AR-17-009,research innovations for scientific knowledge (risk) for musculoskeletal diseases (r61/r33)
RFA-DK-14-001,niddk cooperative hematology specialized core centers (u54)
RFA-RM-16-003,limited competition - stimulating peripheral activity to relieve conditions (sparc): technologies to understand the control of organ function by the peripheral nervous system (ot2)
RFA-AI-16-038,silencing of hiv-1 proviruses (r61/r33)
RFA-RM-15-018,limited competition - stimulating peripheral activity to relieve conditions (sparc): comprehensive functional mapping of neuroanatomy and neurobiology of organs (ot2)
RFA-CA-19-003,pediatric immunotherapy discovery and development network (pi-ddn)(u54 - clinical trial not allowed)
RFA-CA-17-050,pediatric immunotherapy discovery and development network (pi-ddn)(u54)
RFA-ES-14-007,superfund hazardous substance research and training program (p42)
RFA-NS-16-009,brain initiative: next-generation invasive devices for recording and modulation in the human central nervous system (ug3/uh3)
RFA-NS-19-017,heal initiative: translational devices to treat pain (u44 clinical trial optional)
RFA-CA-17-051,pediatric immunotherapy discovery and development network (pi-ddn)(u01)
RFA-CA-19-017,approaches to identify and care for individuals with inherited cancer syndromes (u01 clinical trial required)
RFA-CA-14-503,limited competition: international agency for research on cancer (iarc) monographs program (u01)
RFA-CA-17-015,consortium for pancreatic ductal adenocarcinoma (pdac) translational studies on the tumor microenvironment (u01)
RFA-CA-17-001,canine immunotherapy trials and correlative studies (u01)
RFA-CA-14-010,molecular and cellular characterization of screen-detected lesions (u01)
RFA-CA-14-011,molecular and cellular characterization of screen-detected lesions - coordinating center and data management group (u01)
RFA-NS-15-002,ninds morris k. udall centers of excellence for parkinson's disease research (p50)
RFA-LM-09-001,â nlm applied informatics grants (g08)
RFA-RR-09-007,"recovery act limited competition: core facility renovation, repair, and improvement (g20)"
RFA-HL-08-015,mentored career development award to promote faculty diversity/re-entry in biomedical research (k01)
RFA-AG-10-010,paul b. beeson clinical scientist development award in aging (k08)
RFA-HS-10-007,"ahrq arra recovery act 2009 limited competition: ahrq mentored clinical scientists comparative effectiveness development award (k12) note: the policies, guidelines terms and conditions stated in this"
RFA-OD-10-003,recovery act limited competition: nih basic behavioral and social science opportunity network (oppnet) short-term mentored career development awards in the basic behavioral and social sciences for mid-career and senior investigators (k18)
RFA-RR-09-006,clinical research curriculum award (k30)
RFA-DA-09-012,exploratory centers for translational research on the clinical neurobiology of drug addiction (p20)
RFA-DK-10-001,planning centers for interdisciplinary research in benign urology (ir-bu) (p20)
RFA-HL-10-001,cardiac translational research implementation program (c-trip) (p20)
RFA-RM-08-003,pilot-scale libraries (psl) for high-throughput screening (p41)
RFA-HS-10-008,"ahrq developing prospective practice-based comparative effectiveness research clinical registries: orthopedic devices, drugs, and procedures (p50) note: the policies, guidelines terms and conditions stated in this"
RFA-AG-10-008,â healthy aging through behavioral economic analyses of situations (r01)
RFA-AI-09-037,â highly innovative tactics to interrupt transmission of hiv (hit-it) (r01)
RFA-AI-08-011,ancillary studies in immunomodulation clinical trials (r01)
RFA-AR-10-010,ancillary studies to large ongoing clinical projects (r01)
RFA-DA-10-018,medications development for substance related disorders (r01)
RFA-DE-10-004,increasing the service life of dental resin composites (r01)
RFA-DE-10-003,metagenomic evaluation of oral polymicrobial disease (r01)
RFA-GM-09-008,"exceptional, unconventional research enabling knowledge acceleration (eureka) (r01)"
RFA-FD-10-001,"minor use minor species development of drugs; research project grant (r01) note: the policies, guidelines, terms, and conditions stated in this"
RFA-RM-09-005,â new methodologies for natural products chemistry (r01)
RFA-GM-10-008,research to understand and inform interventions that promote the research careers of students in biomedical and behavioral sciences (r01)
RFA-HD-09-031,the role of human-animal interaction in child health and development (r01)
RFA-RM-09-008,development of new technologies needed for studying the human microbiome (r01)
RFA-HG-09-011,revolutionary genome sequencing technologies the $1000 genome (r01)
RFA-RM-09-020,development of new tools for computational analysis of human microbiome project data (r01)
RFA-HL-09-001,ancillary studies in clinical trials (r01)
RFA-HL-10-002,the role of cardiomyocyte mitochondria in heart disease: an integrated approach (r01)
RFA-HL-10-017,â functional modeling of pediatric upper airway disorders (r01)
RFA-DK-09-012,"â pilot studies for studying the mechanisms of improvement in type 2 diabetes and cardiovascular risk factors or in cardiovascular, lung, or sleep diseases after bariatric surgery (r01)"
RFA-HL-10-015,â systems biology approach to the mechanisms of tb latency and reactivation (r01)
